TILE,WKT
SU0017,"POLYGON((400000 117000, 401000 117000, 401000 118000, 400000 118000, 400000 117000))"
SU0018,"POLYGON((400000 118000, 401000 118000, 401000 119000, 400000 119000, 400000 118000))"
SU0019,"POLYGON((400000 119000, 401000 119000, 401000 120000, 400000 120000, 400000 119000))"
SU0117,"POLYGON((401000 117000, 402000 117000, 402000 118000, 401000 118000, 401000 117000))"
SU0118,"POLYGON((401000 118000, 402000 118000, 402000 119000, 401000 119000, 401000 118000))"
SU0119,"POLYGON((401000 119000, 402000 119000, 402000 120000, 401000 120000, 401000 119000))"
SU0218,"POLYGON((402000 118000, 403000 118000, 403000 119000, 402000 119000, 402000 118000))"
SU0219,"POLYGON((402000 119000, 403000 119000, 403000 120000, 402000 120000, 402000 119000))"
SU0317,"POLYGON((403000 117000, 404000 117000, 404000 118000, 403000 118000, 403000 117000))"
SU0318,"POLYGON((403000 118000, 404000 118000, 404000 119000, 403000 119000, 403000 118000))"
SU0319,"POLYGON((403000 119000, 404000 119000, 404000 120000, 403000 120000, 403000 119000))"
SU0417,"POLYGON((404000 117000, 405000 117000, 405000 118000, 404000 118000, 404000 117000))"
SU0418,"POLYGON((404000 118000, 405000 118000, 405000 119000, 404000 119000, 404000 118000))"
SU0419,"POLYGON((404000 119000, 405000 119000, 405000 120000, 404000 120000, 404000 119000))"
SU0517,"POLYGON((405000 117000, 406000 117000, 406000 118000, 405000 118000, 405000 117000))"
SU0518,"POLYGON((405000 118000, 406000 118000, 406000 119000, 405000 119000, 405000 118000))"
SU0519,"POLYGON((405000 119000, 406000 119000, 406000 120000, 405000 120000, 405000 119000))"
SU0120,"POLYGON((401000 120000, 402000 120000, 402000 121000, 401000 121000, 401000 120000))"
SU0220,"POLYGON((402000 120000, 403000 120000, 403000 121000, 402000 121000, 402000 120000))"
SU0320,"POLYGON((403000 120000, 404000 120000, 404000 121000, 403000 121000, 403000 120000))"
SU0321,"POLYGON((403000 121000, 404000 121000, 404000 122000, 403000 122000, 403000 121000))"
SU0322,"POLYGON((403000 122000, 404000 122000, 404000 123000, 403000 123000, 403000 122000))"
SU0420,"POLYGON((404000 120000, 405000 120000, 405000 121000, 404000 121000, 404000 120000))"
SU0421,"POLYGON((404000 121000, 405000 121000, 405000 122000, 404000 122000, 404000 121000))"
SU0422,"POLYGON((404000 122000, 405000 122000, 405000 123000, 404000 123000, 404000 122000))"
SU0520,"POLYGON((405000 120000, 406000 120000, 406000 121000, 405000 121000, 405000 120000))"
