StationName,ETRS89_X,ETRS89_Y,ETRS89_Z
BLAC,3771798.8525,-200342.1746,5122306.8174
BRIS,3981090.9600,-176886.6789,4963421.7867
BUT1,3319367.7321,-364169.8105,5416049.0291
CARL,3671344.6244,-188441.3771,5194773.9252
CARM,3936214.0939,-296554.3926,4993187.0603
COLC,3943778.4844,61764.0258,4995617.8846
DARE,3811965.6014,-175800.0552,5093615.4865
DROI,3909833.0180,-147097.1376,5020322.4777
EDIN,3575928.4695,-205860.6308,5259853.1539
FLA1,3746732.4022,-5083.0735,5144448.3030
GIR1,3466837.0347,-124006.5619,5334407.6718
GLAS,3578263.4767,-268830.5456,5255394.2374
INVE,3427172.3942,-252834.3352,5355255.5079
IOMN,3716635.6981,-285228.5740,5158273.0123
IOMS,3737197.0924,-302954.1503,5142476.1002
KING,3868686.0777,27112.6452,5053896.9489
LEED,3773717.7988,-109614.4555,5123816.0916
LIZ1,4094405.5772,-372839.5785,4860027.5234
LOND,3979606.8218,-8329.7111,4967677.5293
LYN1,3798969.5283,-284924.5392,5098370.9258
LYN2,3798967.4413,-284924.1982,5098372.5868
MALA,3463463.1663,-353538.2864,5326325.4846
NAS1,3979694.9420,-246984.1805,4961571.0728
NEWC,3667109.2212,-103493.4418,5200153.1990
NFO1,3988363.0512,100576.3462,4959734.1270
NORT,3912445.4691,-62314.6692,5020095.2831
NOTT,3849254.9035,-80460.7917,5068085.0934
OSHQ,4026741.6020,-101963.7857,4928807.8540
PLYM,4060025.2042,-291642.0168,4894189.5557
SCP1,4057626.7535,-91926.1640,4903773.2383
SUM1,3210451.8148,-71446.4744,5492461.3525
THUR,3325995.9497,-216616.2393,5419847.8017
Scilly,4089702.0799,-451491.2397,4857303.2319
Outside#1,3802156.9588,-322682.7292,5093772.8455
Outside#2,3555641.3458,-147489.4953,5275415.7544
StKilda,3367610.2858,-508013.3416,5374787.5144
Flannan,3338502.3654,-445009.8387,5398369.2116
NorthRona,3266950.8401,-333457.4714,5449598.0593
SuleSkerry,3274468.6630,-252967.1187,5449370.5443
Foula,3182239.8600,-115231.9131,5507997.7415
FairIsle,3240638.0049,-91943.9349,5474462.6286
Orkney,3284392.0981,-184462.1270,5446168.7536
Ork_Main(Ork),3315164.0336,-178029.8250,5427830.9210
Ork_Main(Main),3314759.2783,-181719.1082,5427955.0208
