StationName,EastIndex,NorthIndex,RecNoS0,RecNoS1,RecNoS2,RecNoS3,Se0,Sn0,Sg0,Flag0,Se1,Sn1,Sg1,Flag1,Se2,Sn2,Sg2,Flag2,Se3,Sn3,Sg3,Flag3,x0,y0,DX,DY,t,u,Se,Sn,Sg
BLAC, 331 , 431 , 302463 , 302464 , 303165 , 303164 , 95.383 ,-72.19 , 52.316 , 1 , 95.405 ,-72.196 , 52.294 , 1 , 95.407 ,-72.158 , 52.292 , 1 , 95.381 ,-72.146 , 52.314 , 1 , 331000 , 431000 , 439.15958309191 , 992.943487048848 , 0.43915958309191 , 0.992943487048848 , 95.3924198664452 ,-72.1515618079552 , 52.3043526021979 
BRIS, 362 , 170 , 119533 , 119534 , 120235 , 120234 , 95.565 ,-77.813 , 49.557 , 1 , 95.588 ,-77.81 , 49.524 , 1 , 95.619 ,-77.804 , 49.529 , 1 , 95.603 ,-77.805 , 49.561 , 1 , 362000 , 170000 , 174.407782236754 , 56.5002433194022 , 0.174407782236754 , 5.65002433194022E-02 , 95.5710894096626 ,-77.812044482871 , 49.5514803982416 
BUT1, 151 , 966 , 677318 , 677319 , 678020 , 678019 , 93.622 ,-51.552 , 56.215 , 4 , 93.651 ,-51.569 , 56.192 , 4 , 93.67 ,-51.545 , 56.182 , 4 , 93.639 ,-51.528 , 56.207 , 4 , 151000 , 966000 , 874.983804835676 , 535.331406446523 , 0.874983804835676 , 0.535331406446523 , 93.6574119768715 ,-51.5540267709275 , 56.1896559086155 
CARL, 339 , 556 , 390096 , 390097 , 390798 , 390797 , 96.507 ,-67.743 , 52.483 , 1 , 96.54 ,-67.751 , 52.461 , 1 , 96.541 ,-67.712 , 52.45 , 1 , 96.508 ,-67.703 , 52.472 , 1 , 339000 , 556000 , 824.598486480943 , 102.504449912813 , 0.824598486480943 , 0.102504449912813 , 96.5343142545038 ,-67.7455811349096 , 52.4637312843484 
CARM, 241 , 220 , 154462 , 154463 , 155164 , 155163 , 93.842 ,-77.238 , 53.751 , 1 , 93.847 ,-77.267 , 53.734 , 1 , 93.847 ,-77.215 , 53.758 , 1 , 93.841 ,-77.191 , 53.777 , 1 , 241000 , 220000 , 30.7310866340704 , 409.857951065846 , 3.07310866340704E-02 , 0.409857951065846 , 93.8417563928623 ,-77.2195649009113 , 53.7611086874945 
COLC, 599 , 225 , 158325 , 158326 , 159027 , 159026 , 100.404 ,-78.695 , 45.083 , 1 , 100.409 ,-78.68 , 45.066 , 1 , 100.388 ,-78.661 , 45.071 , 1 , 100.37 ,-78.651 , 45.088 , 1 , 599000 , 225000 , 345.196194775519 , 801.485278625099 , 0.345196194775519 , 0.801485278625099 , 100.382072187189 ,-78.6614734465276 , 45.0811390910819 
DARE, 357 , 383 , 268841 , 268842 , 269543 , 269542 , 96.147 ,-73.726 , 51.672 , 1 , 96.154 ,-73.735 , 51.638 , 1 , 96.151 ,-73.7 , 51.642 , 1 , 96.144 ,-73.697 , 51.675 , 1 , 357000 , 383000 , 359.683043417055 , 364.151637744973 , 0.359683043417055 , 0.364151637744973 , 96.1484253263907 ,-73.7178908748802 , 51.6609942106064 
DROI, 389 , 261 , 183351 , 183352 , 184053 , 184052 , 96.139 ,-77.134 , 49.538 , 1 , 96.129 ,-77.152 , 49.511 , 1 , 96.136 ,-77.129 , 49.535 , 1 , 96.136 ,-77.113 , 49.561 , 1 , 389000 , 261000 , 448.041631994827 , 989.271406809101 , 0.448041631994827 , 0.989271406809101 , 96.1359841172155 ,-77.1204035802817 , 49.5490993530683 
EDIN, 319 , 671 , 470691 , 470692 , 471393 , 471392 , 96.092 ,-63.098 , 52.674 , 1 , 96.119 ,-63.108 , 52.64 , 1 , 96.152 ,-63.101 , 52.607 , 1 , 96.109 ,-63.056 , 52.642 , 1 , 319000 , 671000 , 92.3285616980284 , 10.6302161298227 , 9.23285616980283E-02 , 1.06302161298227E-02 , 96.0946892884011 ,-63.0985111680793 , 52.6705196805136 
FLA1, 525 , 470 , 329996 , 329997 , 330698 , 330697 , 102.141 ,-72.428 , 45.574 , 1 , 102.168 ,-72.429 , 45.539 , 1 , 102.179 ,-72.39 , 45.551 , 1 , 102.153 ,-72.39 , 45.587 , 1 , 525000 , 470000 , 643.490657962626 , 775.610142015445 , 0.643490657962626 , 0.775610142015445 , 102.167182471589 ,-72.3986712073808 , 45.5610616609369 
GIR1, 397 , 805 , 564703 , 564704 , 565405 , 565404 , 99.411 ,-58.423 , 49.712 , 1 , 99.445 ,-58.432 , 49.688 , 1 , 99.437 ,-58.404 , 49.682 , 1 , 99.403 ,-58.395 , 49.706 , 1 , 397000 , 805000 , 61.0692494505784 , 408.145881795441 , 6.10692494505784E-02 , 0.408145881795441 , 99.409811187427 ,-58.4121215385548 , 49.7080854627224 
