StationName,ETRS89_X,ETRS89_Y,ETRS89_Z,ETRS89_Lat_NS,ETRS89_Lat_Deg,ETRS89_Lat_Min,ETRS89_Lat_Sec,ETRS89_Long_EW,ETRS89_Long_Deg,ETRS89_Long_Min,ETRS89_Long_Sec,ETRS89_Height,ETRS89_East,ETRS89_North,OSGB36_East,OSGB36_North,OSGB36_Lat_NS,OSGB36_Lat_Deg,OSGB36_Lat_Min,OSGB36_Lat_Sec,OSGB36_Long_EW,OSGB36_Long_Deg,OSGB36_Long_Min,OSGB36_Long_Sec,ODN_Height,Geoid Model ID Flag
BLAC,3771798.853,-200342.175,5122306.817,N,53,46,44.796925,W,003,02,25.637665,64.940,331439.160,431992.943,331534.552,431920.792,N,53,46,44.016810,W,003,02,20.772289,12.636,1
BRIS,3981090.960,-176886.679,4963421.787,N,51,25,39.170761,W,002,32,38.674270,104.018,362174.408,170056.500,362269.979,169978.688,N,51,25,37.435663,W,002,32,33.894862,54.467,1
BUT1,3319367.732,-364169.811,5416049.029,N,58,30,56.173025,W,006,15,39.292403,115.026,151874.984,966535.331,151968.641,966483.777,N,58,30,57.724910,W,006,15,35.199934,58.836,4
CARL,3671344.624,-188441.377,5194773.925,N,54,53,43.524259,W,002,56,17.798693,93.541,339824.598,556102.504,339921.133,556034.759,N,54,53,43.243932,W,002,56,12.703659,41.077,1
CARM,3936214.094,-296554.393,4993187.060,N,51,51,32.072283,W,004,18,30.689158,81.351,241030.731,220409.858,241124.573,220332.638,N,51,51,30.560177,W,004,18,26.513868,27.590,1
COLC,3943778.484,61764.026,4995617.885,N,51,53,39.718951,E,000,53,50.075790,75.273,599345.196,225801.485,599445.578,225722.824,N,51,53,37.942166,E,000,53,56.230710,30.192,1
DARE,3811965.601,-175800.055,5093615.487,N,53,20,41.290104,W,002,38,25.775546,88.411,357359.683,383364.152,357455.831,383290.434,N,53,20,40.303384,W,002,38,20.786148,36.750,1
DROI,3909833.018,-147097.138,5020322.478,N,52,15,19.057739,W,002,09,16.510138,101.526,389448.042,261989.271,389544.178,261912.151,N,52,15,17.591909,W,002,09,11.488600,51.977,1
EDIN,3575928.470,-205860.631,5259853.154,N,55,55,29.217549,W,003,17,41.251876,119.032,319092.329,671010.630,319188.423,670947.532,N,55,55,29.437277,W,003,17,36.179662,66.362,1
FLA1,3746732.402,-5083.074,5144448.303,N,54,07,00.665196,W,000,04,39.832776,86.778,525643.491,470775.610,525745.658,470703.211,N,54,06,59.847216,W,000,04,33.565434,41.217,1
GIR1,3466837.035,-124006.562,5334407.672,N,57,08,20.490695,W,002,02,54.817138,108.610,397061.069,805408.146,397160.479,805349.734,N,57,08,21.205990,W,002,02,48.921444,58.902,1
GLAS,3578263.477,-268830.546,5255394.237,N,55,51,14.398307,W,004,17,47.364560,71.617,256247.486,664760.292,256340.914,664697.266,N,55,51,14.634107,W,004,17,42.815265,17.414,1
INVE,3427172.394,-252834.335,5355255.508,N,57,29,10.500012,W,004,13,09.350362,66.178,266961.481,846233.646,267056.756,846176.969,N,57,29,11.476372,W,004,13,04.473054,13.230,1
IOMN,3716635.698,-285228.574,5158273.012,N,54,19,45.103478,W,004,23,18.568248,94.503,244687.517,495324.611,244780.625,495254.884,N,54,19,44.629490,W,004,23,14.226063,39.891,3
IOMS,3737197.092,-302954.150,5142476.100,N,54,05,11.987451,W,004,38,04.278066,84.366,227685.882,468918.331,227778.318,468847.386,N,54,05,11.403564,W,004,38,00.079452,29.335,3
KING,3868686.078,27112.645,5053896.949,N,52,45,04.920748,E,000,24,05.527717,66.431,562079.805,319862.042,562180.535,319784.993,N,52,45,03.492708,E,000,24,11.666840,20.890,1
LEED,3773717.799,-109614.456,5123816.092,N,53,48,00.774717,W,001,39,49.650033,215.609,422143.679,433891.207,422242.174,433818.699,N,53,47,59.930855,W,001,39,44.154332,165.891,1
LIZ1,4094405.577,-372839.579,4860027.523,N,49,57,36.220979,W,005,12,10.965961,124.269,170277.189,11652.895,170370.706,11572.404,N,49,57,34.031810,W,005,12,07.243455,71.222,1
